custom_id,smiles,echoed_smiles,tg_celsius
lab_00047,*Nc1ccccc1C(=O)OC(=O)C(=O)Nc1ccc(*)cc1,*Nc1ccccc1C(=O)OC(=O)C(=O)Nc1ccc(*)cc1,210.0
lab_00015,*N=[PH](=O)(Oc1ccccc1)S(*)(=O)=O,*N=[PH](=O)(Oc1ccccc1)S(*)(=O)=O,110.0
lab_00077,*OC(*)CCCCCCC,*OC(*)CCCCCCC,-60.0
lab_00034,*CCCCCCCCCCCCOc1cccc(NC(=O)/C=C/C(=O)Nc2ccc(O*)cc2O)c1,*CCCCCCCCCCCCOc1cccc(NC(=O)/C=C/C(=O)Nc2ccc(O*)cc2O)c1,65.0
lab_00026,*C(=O)c1ccc(-c2cc(OCCCCCCCC)c(-c3ccc(-c4ccccc4)c(*)c3)cc2OCCCCCCCCC)cc1,*C(=O)c1ccc(-c2cc(OCCCCCCCC)c(-c3ccc(-c4ccccc4)c(*)c3)cc2OCCCCCCCCC)cc1,90.0
lab_00084,*CCNC(=O)COC(=O)C(CCCCCCCCCCCCCCCSC(=O)O*)c1ccccc1,*CCNC(=O)COC(=O)C(CCCCCCCCCCCCCCCSC(=O)O*)c1ccccc1,-20.0
lab_00097,*CC(*)OCCS(=O)(=O)c1ccc(/N=N/c2ccc(C#N)cc2)cc1,*CC(*)OCCS(=O)(=O)c1ccc(/N=N/c2ccc(C#N)cc2)cc1,110.0
lab_00082,*CCCCS(=O)(=O)CS(=O)(=O)CCCCCO*,*CCCCS(=O)(=O)CS(=O)(=O)CCCCCO*,25.0
lab_00058,*CCCCCOc1cc(CCCCCCOC(=O)CCCCC(=O)O*)cc(-c2ccc(C#N)cc2)c1,*CCCCCOc1cc(CCCCCCOC(=O)CCCCC(=O)O*)cc(-c2ccc(C#N)cc2)c1,-20.0
lab_00056,*CC(*)c1ccc(-c2ccc(-c3ccc(OC(CC)CO[Na])cc3)cc2)cc1,*CC(*)c1ccc(-c2ccc(-c3ccc(OC(CC)CO[Na])cc3)cc2)cc1,130.0
lab_00031,*CCCCCCNC(=O)CC=C(*)C,*CCCCCCNC(=O)CC=C(*)C,-30.0
lab_00004,*CCCCOCCCCOCCSCCO*,*CCCCOCCCCOCCSCCO*,-55.0
lab_00081,*Oc1ccc(Oc2ccc(S(*)(=O)=O)cc2)cc1S(=O)(=O)O,*Oc1ccc(Oc2ccc(S(*)(=O)=O)cc2)cc1S(=O)(=O)O,180.0
lab_00068,*CC=C(CC)CS(=O)(=O)CCCS*,*CC=C(CC)CS(=O)(=O)CCCS*,-20.0
lab_00071,*CCC=C(CCCCCCCCCCCCCC)CS*,*CCC=C(CCCCCCCCCCCCCC)CS*,-65.0
lab_00091,*CCCCCCCCCCSSC(=O)NCC(CCSCCCCCCCCCCCCCC)C(=O)O*,*CCCCCCCCCCSSC(=O)NCC(CCSCCCCCCCCCCCCCC)C(=O)O*,-50.0
lab_00079,*Nc1ccc(Cc2ccc(NC(=O)NCCCCCCNC(=O)Nc3ccc(C(*)=O)cc3)cc2)cc1,*Nc1ccc(Cc2ccc(NC(=O)NCCCCCCNC(=O)Nc3ccc(C(*)=O)cc3)cc2)cc1,140.0
lab_00086,*/C=C/C(CCC[Si](C)(C)C)C(CC(C)C)C(*)(C)C,*/C=C/C(CCC[Si](C)(C)C)C(CC(C)C)C(*)(C)C,-45.0
lab_00063,*CC(*)(C)C(=O)OCCCC(C)CCCC,*CC(*)(C)C(=O)OCCCC(C)CCCC,-40.0
lab_00083,*CCP(=*)(O)OCCCCC,*CCP(=*)(O)OCCCCC,-30.0
lab_00002,*Oc1ccc(OC=C(C)CCSCC)cc1*,*Oc1ccc(OC=C(C)CCSCC)cc1*,40.0
lab_00041,*CC([2H])(S*)C(=O)OC(C)(C)CCCOc1ccc(-c2ccc(OC)cc2)cc1,*CC([2H])(S*)C(=O)OC(C)(C)CCCOc1ccc(-c2ccc(OC)cc2)cc1,45.0
lab_00078,*O[Si](*)(C)CCCCCCCCCCCCCCOc1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(OCc4ccccc4)cc3)cc2)cc1,*O[Si](*)(C)CCCCCCCCCCCCCCOc1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(OCc4ccccc4)cc3)cc2)cc1,-25.0
lab_00061,*CCNC(=O)C(CCOC(=O)N*)CC(C)NC(=O)C(C)CC,*CCNC(=O)C(CCOC(=O)N*)CC(C)NC(=O)C(C)CC,20.0
lab_00064,*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](CC)(CC)N(C(=O)OCC)C(*)C#N,*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](CC)(CC)N(C(=O)OCC)C(*)C#N,-60.0
lab_00055,*[Si](*)(CCCCCCCCCC)CCCCCCCCC(=O)Oc1ccc(-c2ccc(C(=O)OCCOCCCCCCOC(=O)c3ccc(/C=C/C(=O)O)cc3)cc2)cc1,*[Si](*)(CCCCCCCCCC)CCCCCCCCC(=O)Oc1ccc(-c2ccc(C(=O)OCCOCCCCCCOC(=O)c3ccc(/C=C/C(=O)O)cc3)cc2)cc1,-20.0
lab_00073,*CCN(/C=N/c1ccc(/N=N/c2ccc(C)cc2)cc1)CCOC(=O)Nc1ccc(NC(=O)O*)c(C)c1,*CCN(/C=N/c1ccc(/N=N/c2ccc(C)cc2)cc1)CCOC(=O)Nc1ccc(NC(=O)O*)c(C)c1,95.0
lab_00075,*CCCOC(=O)[SH]C(=O)OCCCCCOc1ccc(N(*)c2ccc(OC)cc2)cc1,*CCCOC(=O)[SH]C(=O)OCCCCCOc1ccc(N(*)c2ccc(OC)cc2)cc1,10.0
lab_00010,*Oc1ccc(C(C)(C)c2ccc(OC(*)=C(CC)COCC(=O)Oc3ccc(C(C)(C)C)cc3)cc2)cc1,*Oc1ccc(C(C)(C)c2ccc(OC(*)=C(CC)COCC(=O)Oc3ccc(C(C)(C)C)cc3)cc2)cc1,45.0
lab_00027,*CCCCCCCCCCCCOc1ccc(/C(=C/c2ccc(O*)cc2)c2ccccc2)cc1,*CCCCCCCCCCCCOc1ccc(/C(=C/c2ccc(O*)cc2)c2ccccc2)cc1,40.0
lab_00013,*Oc1cccc(OC(=O)c2ccc(OCCC(F)CCC(*)S[Si](C)(C)C)cc2)c1,*Oc1cccc(OC(=O)c2ccc(OCCC(F)CCC(*)S[Si](C)(C)C)cc2)c1,15.0
lab_00029,*/C=C/c1cc(OCCCCCCCCCC)cc(*)c1Br,*/C=C/c1cc(OCCCCCCCCCC)cc(*)c1Br,-20.0
lab_00057,*OC(C=*)OCCS(=O)(=O)Cl,*OC(C=*)OCCS(=O)(=O)Cl,45.0
lab_00090,*CCN(CCOC(=O)c1cc(C(=O)O)ccc1C(=O)O*)c1ccccc1,*CCN(CCOC(=O)c1cc(C(=O)O)ccc1C(=O)O*)c1ccccc1,65.0
lab_00096,*C/C=C/c1cc(COCCCCCC)c(*)cc1-c1ccccc1,*C/C=C/c1cc(COCCCCCC)c(*)cc1-c1ccccc1,45.0
lab_00017,*CCCCCCC(=O)NCCCCOCCNC(=O)CCCCCCS*,*CCCCCCC(=O)NCCCCOCCNC(=O)CCCCCCS*,-30.0
lab_00009,*CC1CC(Cl)C(*)C1=O,*CC1CC(Cl)C(*)C1=O,120.0
lab_00066,*CC[PH](*)(CC)CCCCCC,*CC[PH](*)(CC)CCCCCC,-60.0
lab_00030,*CCCCNC(=O)CCCCCCCCC(=O)NCCCNC(=O)C(C)C(=O)N*,*CCCCNC(=O)CCCCCCCCC(=O)NCCCNC(=O)C(C)C(=O)N*,45.0
lab_00007,*CC(*)OCCCC[N+](CCC)CCCC,*CC(*)OCCCC[N+](CCC)CCCC,-30.0
lab_00038,*CCC(=O)N1C=CN(*)CC1,*CCC(=O)N1C=CN(*)CC1,90.0
lab_00067,*OC#COc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(C(*)=O)cc3)cc2)cc1,*OC#COc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(C(*)=O)cc3)cc2)cc1,280.0
lab_00018,*C#CCOC(=O)OCCCCCCOC(=O)OCCCCCCOC(=O)OC1CCC(OC(=O)OC)C1*,*C#CCOC(=O)OCCCCCCOC(=O)OCCCCCCOC(=O)OC1CCC(OC(=O)OC)C1*,-10.0
lab_00069,*CC(C)(C)CCCCC(=O)NCCCCCCNC(=O)CCCCC(=O)N*,*CC(C)(C)CCCCC(=O)NCCCCCCNC(=O)CCCCC(=O)N*,40.0
lab_00093,*c1cc(-c2ccc([Si](c3ccccc3)c3ccc([Si](*)(C)C)cc3)cc2)cc(C(C(F)(F)F)C(F)(F)F)c1,*c1cc(-c2ccc([Si](c3ccccc3)c3ccc([Si](*)(C)C)cc3)cc2)cc(C(C(F)(F)F)C(F)(F)F)c1,145.0
lab_00088,*CCCCCCCCCCC(=O)NCCCCCCNC(=O)C(CCCCCCC(=O)N*)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)cc1,*CCCCCCCCCCC(=O)NCCCCCCNC(=O)C(CCCCCCC(=O)N*)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)cc1,55.0
lab_00087,*NC(C)C(=O)NCCCCCCCC(*)=S,*NC(C)C(=O)NCCCCCCCC(*)=S,-20.0
lab_00076,*/C=C/C1CC(*)C(COC(C)=O)C1,*/C=C/C1CC(*)C(COC(C)=O)C1,45.0
lab_00032,*N=[PH](*)(=O)c1ccc(N(C)C)cc1,*N=[PH](*)(=O)c1ccc(N(C)C)cc1,110.0
lab_00001,*CCC(=O)NNC(=O)CCOC(=O)OCC(=O)COC(=O)CCCCCO*,*CCC(=O)NNC(=O)CCOC(=O)OCC(=O)COC(=O)CCCCCO*,-20.0
lab_00072,*CCCCCC(=O)Nc1ccc(NC(=O)N/C=N/c2ccc(C=*)cc2)cc1,*CCCCCC(=O)Nc1ccc(NC(=O)N/C=N/c2ccc(C=*)cc2)cc1,130.0
lab_00012,*CCOCCC(*)(C)C,*CCOCCC(*)(C)C,-40.0
lab_00040,*CC[Se](C)CCOC(=O)c1cccc(NC(=O)NCCCS*)c1,*CC[Se](C)CCOC(=O)c1cccc(NC(=O)NCCCS*)c1,45.0
lab_00033,*CC(C)(CC)COC(=O)CCCCCCOC(=O)CCCCCCCCC(=O)O*,*CC(C)(CC)COC(=O)CCCCCCOC(=O)CCCCCCCCC(=O)O*,-40.0
lab_00062,*CCCCCCCCCCCCCCNC(=O)CCSCCCCCCCCCC*,*CCCCCCCCCCCCCCNC(=O)CCSCCCCCCCCCC*,-40.0
lab_00053,*CC(CCNC(=O)c1ccc(C(=O)O*)cc1)(COCCCC)C(C(=O)O)C(=O)O,*CC(CCNC(=O)c1ccc(C(=O)O*)cc1)(COCCCC)C(C(=O)O)C(=O)O,85.0
lab_00054,*CC(C*)(CO)OC,*CC(C*)(CO)OC,40.0
lab_00070,*CC(*)(CC(=O)NC(=O)O[Na])C(=O)OCCCc1ccccn1,*CC(*)(CC(=O)NC(=O)O[Na])C(=O)OCCCc1ccccn1,120.0
lab_00051,*CCCCCCOc1ccc(-c2ccc(-c3ccc(/C=C/C(=O)c4ccc(*)nc4)c(C)c3)cc2)cc1C,*CCCCCCOc1ccc(-c2ccc(-c3ccc(/C=C/C(=O)c4ccc(*)nc4)c(C)c3)cc2)cc1C,85.0
lab_00000,*OC(=O)NS(=O)(=O)c1cc(*)cc(Br)c1,*OC(=O)NS(=O)(=O)c1cc(*)cc(Br)c1,150.0
lab_00037,*CCC(C)(C)CNC(=O)c1ccc(C(=O)N*)c(S(=O)(=O)O)c1,*CCC(C)(C)CNC(=O)c1ccc(C(=O)N*)c(S(=O)(=O)O)c1,120.0
lab_00049,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)c(C(F)(F)F)c4)cc3)cc2F)cc1,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)c(C(F)(F)F)c4)cc3)cc2F)cc1,195.0
lab_00092,*O[Si](*)(C)c1ccc(C(=O)N(CC)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,*O[Si](*)(C)c1ccc(C(=O)N(CC)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,45.0
lab_00016,*Oc1ccc(CC(NC(=O)CCc2ccc(OC(*)=O)cc2)C(=O)OCc2ccc([N+](=O)[O-])cc2)cc1,*Oc1ccc(CC(NC(=O)CCc2ccc(OC(*)=O)cc2)C(=O)OCc2ccc([N+](=O)[O-])cc2)cc1,85.0
lab_00074,*CCCCCCCCOC(=O)OCCSCCCCCOC(=O)O*,*CCCCCCCCOC(=O)OCCSCCCCCOC(=O)O*,-35.0
lab_00048,*CC(*)(Oc1ccc(C)cc1)c1ccc(C)c(Cl)c1,*CC(*)(Oc1ccc(C)cc1)c1ccc(C)c(Cl)c1,115.0
lab_00014,*CCCOC(=O)CCc1ccc(C(=O)O*)cc1,*CCCOC(=O)CCc1ccc(C(=O)O*)cc1,-20.0
lab_00021,*CC(*)(C)C(=O)OCCCCCCOc1ccc(C(=O)Oc2ccc(C(=O)Oc3ccc(OC(=O)c4ccccc4)cc3)cc2)cc1,*CC(*)(C)C(=O)OCCCCCCOc1ccc(C(=O)Oc2ccc(C(=O)Oc3ccc(OC(=O)c4ccccc4)cc3)cc2)cc1,90.0
lab_00006,*Nc1cccc(NC(=O)c2ccc(C(*)=O)cc2-c2ccccc2)c1,*Nc1cccc(NC(=O)c2ccc(C(*)=O)cc2-c2ccccc2)c1,280.0
lab_00045,*CC(CCCCOc1ccc(/N=N/Nc2ccccc2C)cc1)NOCOC(=O)c1ccccc1-c1ccccc1C(=O)O*,*CC(CCCCOc1ccc(/N=N/Nc2ccccc2C)cc1)NOCOC(=O)c1ccccc1-c1ccccc1C(=O)O*,85.0
lab_00059,*CCCCCCCCCNC(=O)C(Cc1ccccc1)C(=*)CCCCCCOC(=O)CCCCC(=O)OC,*CCCCCCCCCNC(=O)C(Cc1ccccc1)C(=*)CCCCCCOC(=O)CCCCC(=O)OC,-30.0
lab_00039,*CC(C)(CSC)C(CCCCC)O*,*CC(C)(CSC)C(CCCCC)O*,-30.0
lab_00019,*OP(=O)(Oc1ccc(Cl)cc1)c1ccc(*)cc1,*OP(=O)(Oc1ccc(Cl)cc1)c1ccc(*)cc1,95.0
lab_00046,*Oc1cccc(C(=O)Oc2ccc(C(=O)Oc3ccc(O*)c(-c4ccc([N+](=O)[O-])cc4)c3)cc2OCCCCCCCCCCCCCCCC)c1,*Oc1cccc(C(=O)Oc2ccc(C(=O)Oc3ccc(O*)c(-c4ccc([N+](=O)[O-])cc4)c3)cc2OCCCCCCCCCCCCCCCC)c1,45.0
lab_00025,*CCCCCCCCCCCCCCCCCCCCNC(=O)CCNC(=O)CCCCCCCCCCC(=O)NCCCCCCCCC(=O)N*,*CCCCCCCCCCCCCCCCCCCCNC(=O)CCNC(=O)CCCCCCCCCCC(=O)NCCCCCCCCC(=O)N*,15.0
lab_00044,*CC(*)C(=O)OC(CO)OC(C)(C)C,*CC(*)C(=O)OC(CO)OC(C)(C)C,45.0
lab_00008,*Oc1ccc(NC(=O)Cc2cc(OCCCCCCCCCCCC)c(OC(=O)CCCCCCCCCCCC(*)=O)c(OC)c2Cl)c(Cl)c1,*Oc1ccc(NC(=O)Cc2cc(OCCCCCCCCCCCC)c(OC(=O)CCCCCCCCCCCC(*)=O)c(OC)c2Cl)c(Cl)c1,15.0
lab_00050,*CC(*)(C)C(=O)OCCCCCCCCCCOc1ccc(-c2ccc(C(=O)Oc3ccc(OCC)cc3)cc2)cc1,*CC(*)(C)C(=O)OCCCCCCCCCCOc1ccc(-c2ccc(C(=O)Oc3ccc(OCC)cc3)cc2)cc1,10.0
lab_00099,*Oc1ccc(C(=O)NCCCCCCCNC(=O)c2ccc(C(=O)OCc3ccc(*)cc3)cc2)cc1,*Oc1ccc(C(=O)NCCCCCCCNC(=O)c2ccc(C(=O)OCc3ccc(*)cc3)cc2)cc1,85.0
lab_02065,*COC(=O)Cc1cccc(CNC(=O)O*)c1,*COC(=O)Cc1cccc(CNC(=O)O*)c1,45.0
lab_01316,*OC(OC(C)=O)C(*)CC,*OC(OC(C)=O)C(*)CC,45.0
lab_01274,*CCCCCCCCOC(=O)NCCCCCCCCNC(=O)OCCOCCOCCOC(=O)O*,*CCCCCCCCOC(=O)NCCCCCCCCNC(=O)OCCOCCOCCOC(=O)O*,-30.0
lab_02503,*O[Si](*)(C)c1ccc(OC)c(C)c1,*O[Si](*)(C)c1ccc(OC)c(C)c1,45.0
lab_06560,*CC(*)(CC(=O)OCCCCCCCC)C(=O)OC,*CC(*)(CC(=O)OCCCCCCCC)C(=O)OC,-40.0
lab_00897,*CC(*)C(=O)OCCCOc1ccc(S(=O)(=O)c2ccc(C#N)cc2)cc1,*CC(*)C(=O)OCCCOc1ccc(S(=O)(=O)c2ccc(C#N)cc2)cc1,55.0
lab_00534,*CCCCOC(=O)CCCSSCCC(=O)O*,*CCCCOC(=O)CCCSSCCC(=O)O*,-40.0
lab_09975,*Oc1ccc(C(C#N)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)cc1*,*Oc1ccc(C(C#N)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)cc1*,150.0
lab_09704,*CC(O)COC(=O)NCC(OC)OC(=O)OCc1cc(OC(C)=O)cc(*)n1,*CC(O)COC(=O)NCC(OC)OC(=O)OCc1cc(OC(C)=O)cc(*)n1,45.0
lab_05881,*/C=C/c1ccc(OC(=O)c2ccc(C(=O)OCCN(*)c3ccc(C)cc3)cc2)cc1,*/C=C/c1ccc(OC(=O)c2ccc(C(=O)OCCN(*)c3ccc(C)cc3)cc2)cc1,95.0
lab_04812,*Oc1ccc(OC(=O)c2ccccc2C(=O)OC(=O)c2cc(OC(=O)c3ccc(OCCCCCCCCCCOC(*)=O)c(C)c3)ccc2C)cc1,*Oc1ccc(OC(=O)c2ccccc2C(=O)OC(=O)c2cc(OC(=O)c3ccc(OCCCCCCCCCCOC(*)=O)c(C)c3)ccc2C)cc1,45.0
lab_05361,*CC(*)c1ccc(C(C=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c(C)c1,*CC(*)c1ccc(C(C=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c(C)c1,95.0
lab_01015,*CCCCCC(=O)OCC(C)(CC)CCOC(=O)CCCCC(=O)O*,*CCCCCC(=O)OCC(C)(CC)CCOC(=O)CCCCC(=O)O*,-50.0
lab_02491,*CCOC(=O)OCCCCCCCCCC(=O)OC1COC(*)CO1,*CCOC(=O)OCCCCCCCCCC(=O)OC1COC(*)CO1,-30.0
lab_04769,*Oc1ccc(Oc2ccc(C(=O)Nc3ccc(NC(=O)c4ccc(*)cc4)cc3)cc2)cc1C(=O)O[Na],*Oc1ccc(Oc2ccc(C(=O)Nc3ccc(NC(=O)c4ccc(*)cc4)cc3)cc2)cc1C(=O)O[Na],280.0
lab_07421,*CC(=O)NCCCCCCN[Se]C(=O)c1ccc(C(=O)N(*)CCC)cc1,*CC(=O)NCCCCCCN[Se]C(=O)c1ccc(C(=O)N(*)CCC)cc1,65.0
lab_09325,*Oc1ccc(CC(CC(O)C(O)CO)NC(=O)CCCCCCC(*)=O)cc1,*Oc1ccc(CC(CC(O)C(O)CO)NC(=O)CCCCCCC(*)=O)cc1,15.0
lab_09885,*OCCCCCCCCOC(=O)Nc1ccc(Cc2ccc(NS(=O)(=O)O*)c(C(=O)O)c2)cc1,*OCCCCCCCCOC(=O)Nc1ccc(Cc2ccc(NS(=O)(=O)O*)c(C(=O)O)c2)cc1,55.0
lab_01210,*Nc1cccc(NC(=O)CCCC[Si](*)(C)C)c1,*Nc1cccc(NC(=O)CCCC[Si](*)(C)C)c1,65.0
lab_01135,*CC(O)C(O)COC(=O)CCCCCNC(=O)c1ccc(C(=O)O*)cc1,*CC(O)C(O)COC(=O)CCCCCNC(=O)c1ccc(C(=O)O*)cc1,45.0
lab_02460,*CCCCCOC(=O)SSCCCCCCCCCCCCSCSCCSCCc1ccc(CNC(=O)O*)cc1,*CCCCCOC(=O)SSCCCCCCCCCCCCSCSCCSCCc1ccc(CNC(=O)O*)cc1,-30.0
lab_05394,*Oc1ccc(Oc2ccc(C(=O)Nc3ccc(F)cc3)cc2)c(-c2ccccc2C(=O)CCCCCCC(*)=O)c1,*Oc1ccc(Oc2ccc(C(=O)Nc3ccc(F)cc3)cc2)c(-c2ccccc2C(=O)CCCCCCC(*)=O)c1,95.0
lab_04032,*CC(COC(=O)c1cccc(C(*)=O)c1)OCc1ccccc1,*CC(COC(=O)c1cccc(C(*)=O)c1)OCc1ccccc1,40.0
lab_03894,*CCC(CC)C(=CS*)CCCCCCCCCC,*CCC(CC)C(=CS*)CCCCCCCCCC,-60.0
lab_06565,*CCCC(C)CCCNC(=O)c1ccc(C(=O)N*)cc1,*CCCC(C)CCCNC(=O)c1ccc(C(=O)N*)cc1,55.0
lab_01914,*Oc1ccc(C(C)(CCCC)c2ccc(OC(*)=O)c(C)c2)cc1CC,*Oc1ccc(C(C)(CCCC)c2ccc(OC(*)=O)c(C)c2)cc1CC,95.0
lab_00622,*C(C#N)=C(*)CCc1ccccc1,*C(C#N)=C(*)CCc1ccccc1,90.0
lab_09838,*CCCCCOC(=O)Nc1ccc(Oc2ccc(C(=O)O*)cc2)cc1,*CCCCCOC(=O)Nc1ccc(Oc2ccc(C(=O)O*)cc2)cc1,45.0
lab_06092,*c1ccc(Oc2cc(C=*)cc(S(=O)(=O)c3ccccc3)c2)cc1,*c1ccc(Oc2cc(C=*)cc(S(=O)(=O)c3ccccc3)c2)cc1,155.0
lab_07349,*c1cc(N(C)C)c(*)cc1O,*c1cc(N(C)C)c(*)cc1O,180.0
lab_08321,*OS(=O)(=O)c1ccc(C(=O)NC(C=CC(=*)CC)CC)cc1,*OS(=O)(=O)c1ccc(C(=O)NC(C=CC(=*)CC)CC)cc1,120.0
lab_00790,*CCCCCCOC(=O)C(C)CCCCCCC(=O)O*,*CCCCCCOC(=O)C(C)CCCCCCC(=O)O*,-55.0
lab_04607,*/C=C/c1ccc(/C=C(\C#N)C(=O)OCCCCCCOC(=O)c2ccc(C(=O)Nc3ccc(O*)cc3)cc2)cc1,*/C=C/c1ccc(/C=C(\C#N)C(=O)OCCCCCCOC(=O)c2ccc(C(=O)Nc3ccc(O*)cc3)cc2)cc1,95.0
lab_03406,*CCCCCCCCCCCCCN(C)C(=O)CC(C)(C)C(=O)N*,*CCCCCCCCCCCCCN(C)C(=O)CC(C)(C)C(=O)N*,-20.0
lab_00159,*CC(=O)NCC1CNC(=O)C1*,*CC(=O)NCC1CNC(=O)C1*,130.0
lab_08765,*C#CC(CCCCCCCCCCCC)COC(=O)CCCCC(=O)O*,*C#CC(CCCCCCCCCCCC)COC(=O)CCCCC(=O)O*,-40.0
lab_01469,*CC(CCCCCCCC)C(=O)C(*)C,*CC(CCCCCCCC)C(=O)C(*)C,-30.0
